municipio;provincia;fecha;horario;temperatura_actual;probabilidad_precipitacion;temperatura_minima;temperatura_maxima;
Ames;A Coruña;sáb 10;18–24 h;13°C;100% ;13;17;;
Ames;A Coruña;dom 11;00–06 h;13°C;100% ;9;16;;
Ames;A Coruña;dom 11;06–12 h;15°C;100% ;9;16;;
Ames;A Coruña;dom 11;12–18 h;12°C;90% ;9;16;;
Ames;A Coruña;dom 11;18–24 h;10°C;45% ;9;16;;
Ames;A Coruña;dom 11;00–12 h;;45% ;9;16;;
Ames;A Coruña;lun 12;12–24 h;;45% ;5;15;;
Ames;A Coruña;mar 13;00–12 h;;0% ;4;16;;
Ames;A Coruña;mar 13;12–24 h;;0% ;4;16;;
Ames;A Coruña;mié 14; ;;0% ;4;20;;
Ames;A Coruña;jue 15; ;;15% ;8;21;;
Ames;A Coruña;vie 16; ;;0% ;8;21;;
Arteixo;A Coruña;sáb 10;18–24 h;14°C;100% ;12;16;;
Arteixo;A Coruña;dom 11;00–06 h;13°C;100% ;10;15;;
Arteixo;A Coruña;dom 11;06–12 h;15°C;90% ;10;15;;
Arteixo;A Coruña;dom 11;12–18 h;13°C;80% ;10;15;;
Arteixo;A Coruña;dom 11;18–24 h;10°C;20% ;10;15;;
Arteixo;A Coruña;dom 11;00–12 h;;45% ;10;15;;
Arteixo;A Coruña;lun 12;12–24 h;;45% ;8;16;;
Arteixo;A Coruña;mar 13;00–12 h;;0% ;6;15;;
Arteixo;A Coruña;mar 13;12–24 h;;0% ;6;15;;
Arteixo;A Coruña;mié 14; ;;0% ;7;19;;
Arteixo;A Coruña;jue 15; ;;15% ;12;20;;
Arteixo;A Coruña;vie 16; ;;5% ;11;21;;
Betanzos;A Coruña;sáb 10;18–24 h;14°C;100% ;12;16;;
Betanzos;A Coruña;dom 11;00–06 h;12°C;100% ;8;15;;
Betanzos;A Coruña;dom 11;06–12 h;15°C;95% ;8;15;;
Betanzos;A Coruña;dom 11;12–18 h;13°C;85% ;8;15;;
Betanzos;A Coruña;dom 11;18–24 h;8°C;30% ;8;15;;
Betanzos;A Coruña;dom 11;00–12 h;;35% ;8;15;;
Betanzos;A Coruña;lun 12;12–24 h;;35% ;4;16;;
Betanzos;A Coruña;mar 13;00–12 h;;0% ;3;16;;
Betanzos;A Coruña;mar 13;12–24 h;;0% ;3;16;;
Betanzos;A Coruña;mié 14; ;;0% ;6;21;;
Betanzos;A Coruña;jue 15; ;;5% ;11;21;;
Betanzos;A Coruña;vie 16; ;;5% ;11;21;;
Boiro;A Coruña;sáb 10;18–24 h;14°C;100% ;12;17;;
Boiro;A Coruña;dom 11;00–06 h;13°C;100% ;10;16;;
Boiro;A Coruña;dom 11;06–12 h;16°C;100% ;10;16;;
Boiro;A Coruña;dom 11;12–18 h;13°C;85% ;10;16;;
Boiro;A Coruña;dom 11;18–24 h;11°C;65% ;10;16;;
Boiro;A Coruña;dom 11;00–12 h;;50% ;10;16;;
Boiro;A Coruña;lun 12;12–24 h;;5% ;7;15;;
Boiro;A Coruña;mar 13;00–12 h;;0% ;5;16;;
Boiro;A Coruña;mar 13;12–24 h;;0% ;5;16;;
Boiro;A Coruña;mié 14; ;;5% ;6;19;;
Boiro;A Coruña;jue 15; ;;10% ;9;21;;
Boiro;A Coruña;vie 16; ;;0% ;9;22;;
Cambre;A Coruña;sáb 10;18–24 h;14°C;100% ;12;16;;
Cambre;A Coruña;dom 11;00–06 h;13°C;100% ;8;16;;
